word,status,sources,author,work,language
Δηΐφοβον,morphology_only,,Homer,Iliad,greek
Δηΐφοβος,morphology_only,,Homer,Iliad,greek
Δηΐφοβόν,morphology_only,,Homer,Iliad,greek
Δηΐφοβός,morphology_only,,Homer,Iliad,greek
Δημοκόωντα,no_entry,,Homer,Iliad,greek
Δημολέοντα,no_entry,,Homer,Iliad,greek
Δημοῦχον,morphology_only,,Homer,Iliad,greek
Δηϊκόωντα,no_entry,,Homer,Iliad,greek
Δηϊοπίτην,no_entry,,Homer,Iliad,greek
Δηϊπύλῳ,no_entry,,Homer,Iliad,greek
Δηϊφόβοιο,no_entry,,Homer,Iliad,greek
Δηϊφόβῳ,morphology_only,,Homer,Iliad,greek
Διοκλῆα,no_entry,,Homer,Iliad,greek
Διοκλῆος,no_entry,,Homer,Iliad,greek
Διώνη,no_entry,,Homer,Iliad,greek
Διώνης,no_entry,,Homer,Iliad,greek
Διώρεα,no_entry,,Homer,Iliad,greek
Διώρεος,no_entry,,Homer,Iliad,greek
Διώρης,no_entry,,Homer,Iliad,greek
Δολοπίονος,no_entry,,Homer,Iliad,greek
Δολόπεσσιν,no_entry,,Homer,Iliad,greek
Δουλίχιον,no_entry,,Homer,Iliad,greek
Δουλιχίοιο,no_entry,,Homer,Iliad,greek
Δρακίος,no_entry,,Homer,Iliad,greek
Δρύαντά,no_entry,,Homer,Iliad,greek
Δρύαντος,no_entry,,Homer,Iliad,greek
Δρύοπʼ,no_entry,,Homer,Iliad,greek
Δρῆσον,no_entry,,Homer,Iliad,greek
Δόλοπα,no_entry,,Homer,Iliad,greek
Δόλοπος,no_entry,,Homer,Iliad,greek
Δόλοψ,no_entry,,Homer,Iliad,greek
Δόρυκλον,no_entry,,Homer,Iliad,greek
Δύμαντος,no_entry,,Homer,Iliad,greek
Δώριον,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Εἰλέσιον,morphology_only,,Homer,Iliad,greek
Εἰρέτριάν,no_entry,,Homer,Iliad,greek
Εὐαίμονος,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Εὐαιμονίδης,no_entry,,Homer,Iliad,greek
Εὐηνίνης,no_entry,,Homer,Iliad,greek
Εὐηνοῖο,no_entry,,Homer,Iliad,greek
Εὐμήδεος,no_entry,,Homer,Iliad,greek
Εὐρυβάτην,no_entry,,Homer,Iliad,greek
Εὐρυβάτης,no_entry,,Homer,Iliad,greek
Εὐρυδάμαντος,no_entry,,Homer,Iliad,greek
Εὐρυνόμη,morphology_only,,Homer,Iliad,greek
Εὐρυπύλοιο,no_entry,,Homer,Iliad,greek
Εὐρυπύλῳ,morphology_only,,Homer,Iliad,greek
