word,status,sources,author,work,language
Εὔμαιον,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὔμαιος,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὔμηλος,morphology_only,,Homer,Odyssey,greek
Εὔρυτος,morphology_only,,Homer,Odyssey,greek
Ζάκυνθος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Ζήθοιο,no_entry,,Homer,Odyssey,greek
Ζακύνθου,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Ζακύνθῳ,morphology_only,wiktionary,Homer,Odyssey,greek
Ζῆθόν,morphology_only,,Homer,Odyssey,greek
Θεοκλύμενον,morphology_only,,Homer,Odyssey,greek
Θεοκλύμενος,morphology_only,,Homer,Odyssey,greek
Θεσπρωτούς,no_entry,,Homer,Odyssey,greek
Θρασυμήδεϊ,no_entry,,Homer,Odyssey,greek
Θυέστης,no_entry,,Homer,Odyssey,greek
Θυεστιάδης,no_entry,,Homer,Odyssey,greek
Θόων,no_entry,,Homer,Odyssey,greek
Θῶνος,no_entry,,Homer,Odyssey,greek
Κήτειοι,no_entry,,Homer,Odyssey,greek
Κίκονας,morphology_only,wiktionary,Homer,Odyssey,greek
Κίκονες,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Καλυψοῦς,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Καλυψώ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Καλυψὼ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Κασσάνδρης,no_entry,,Homer,Odyssey,greek
Καύκωνας,no_entry,,Homer,Odyssey,greek
Κικόνεσσι,morphology_only,wiktionary,Homer,Odyssey,greek
Κικόνων,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Κλεῖτον,no_entry,,Homer,Odyssey,greek
Κλεῖτόν,no_entry,,Homer,Odyssey,greek
Κλυμένην,no_entry,,Homer,Odyssey,greek
Κλυμένοιο,no_entry,,Homer,Odyssey,greek
Κλυτίδη,no_entry,,Homer,Odyssey,greek
Κλυτίοιο,no_entry,,Homer,Odyssey,greek
Κλυταιμνήστρη,no_entry,,Homer,Odyssey,greek
Κλυτόνηος,no_entry,,Homer,Odyssey,greek
Κνωσός,no_entry,,Homer,Odyssey,greek
Κράταιιν,no_entry,,Homer,Odyssey,greek
Κρείοντος,no_entry,,Homer,Odyssey,greek
Κρηθῆι,no_entry,,Homer,Odyssey,greek
Κρηθῆος,no_entry,,Homer,Odyssey,greek
Κτήσιππʼ,no_entry,,Homer,Odyssey,greek
Κτήσιππον,morphology_only,,Homer,Odyssey,greek
Κτήσιππος,morphology_only,,Homer,Odyssey,greek
Κτιμένῃ,no_entry,,Homer,Odyssey,greek
Κύδωνες,no_entry,,Homer,Odyssey,greek
Λάμου,morphology_only,,Homer,Odyssey,greek
Λήδην,no_entry,,Homer,Odyssey,greek
Λαέρκεα,no_entry,,Homer,Odyssey,greek
Λαέρταο,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Λαέρτεω,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Λαέρτην,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Λαέρτης,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Λαέρτῃ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Λαιστρυγονίην,no_entry,,Homer,Odyssey,greek
Λαμπετίη,no_entry,,Homer,Odyssey,greek
Λαοδάμας,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Λαπίθας,no_entry,,Homer,Odyssey,greek
Λειώκριτον,morphology_only,,Homer,Odyssey,greek
Λειώκριτος,morphology_only,,Homer,Odyssey,greek
Λευκάδα,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Μάλειαν,no_entry,,Homer,Odyssey,greek
Μάντιον,no_entry,,Homer,Odyssey,greek
Μέντης,no_entry,,Homer,Odyssey,greek
Μέντορ,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Μέντορα,morphology_only,wiktionary,Homer,Odyssey,greek
Μέντορι,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Μέντωρ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Μέντῃ,no_entry,,Homer,Odyssey,greek
Μίμαντα,no_entry,,Homer,Odyssey,greek
Μαλειάων,no_entry,,Homer,Odyssey,greek
Μαλειῶν,no_entry,,Homer,Odyssey,greek
Μαστορίδης,no_entry,,Homer,Odyssey,greek
Μεγάρην,no_entry,,Homer,Odyssey,greek
Μεγαπένθεʼ,no_entry,,Homer,Odyssey,greek
Μεγαπένθης,no_entry,,Homer,Odyssey,greek
Μελάμποδος,no_entry,,Homer,Odyssey,greek
Μελάνθιε,morphology_only,wiktionary,Homer,Odyssey,greek
Μελάνθιον,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Μελάνθιος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Μελανθεύς,no_entry,,Homer,Odyssey,greek
Μελανθεὺς,no_entry,,Homer,Odyssey,greek
Μελανθεῦ,no_entry,,Homer,Odyssey,greek
Μελανθὼ,no_entry,,Homer,Odyssey,greek
Μελανῆος,no_entry,,Homer,Odyssey,greek
Μερμερίδαο,no_entry,,Homer,Odyssey,greek
Μεσαύλιος,no_entry,,Homer,Odyssey,greek
Μεσσήνιοι,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Μεσσήνῃ,morphology_only,,Homer,Odyssey,greek
Μούλιος,no_entry,,Homer,Odyssey,greek
Νέαιρα,no_entry,,Homer,Odyssey,greek
Νέστορ,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Νέστορʼ,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Νέστορά,morphology_only,wiktionary,Homer,Odyssey,greek
Νέστορα,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Νέστορι,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Νέστορος,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Νέστωρ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Νήρικον,morphology_only,,Homer,Odyssey,greek
Νήριτον,no_entry,,Homer,Odyssey,greek
Νήριτόν,no_entry,,Homer,Odyssey,greek
Νίσου,morphology_only,,Homer,Odyssey,greek
Ναυβολίδης,no_entry,,Homer,Odyssey,greek
Ναυσίθοον,morphology_only,,Homer,Odyssey,greek
Ναυσίθοος,morphology_only,,Homer,Odyssey,greek
Ναυσιθόου,morphology_only,,Homer,Odyssey,greek
Ναυσικάα,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Ναυσικάαν,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Ναυσικάᾳ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Ναυτεύς,no_entry,,Homer,Odyssey,greek
Νεστορίδη,no_entry,,Homer,Odyssey,greek
Νεστορίδην,no_entry,,Homer,Odyssey,greek
Νεστορίδης,no_entry,,Homer,Odyssey,greek
Νοήμονα,no_entry,,Homer,Odyssey,greek
Νῖσον,morphology_only,,Homer,Odyssey,greek
Παιήονός,no_entry,,Homer,Odyssey,greek
Πανδαρέου,no_entry,,Homer,Odyssey,greek
Πανοπῆος,no_entry,,Homer,Odyssey,greek
Πείραιʼ,no_entry,,Homer,Odyssey,greek
Πείραιε,no_entry,,Homer,Odyssey,greek
Πείραιον,no_entry,,Homer,Odyssey,greek
Πείραιος,no_entry,,Homer,Odyssey,greek
Πείσανδρον,morphology_only,,Homer,Odyssey,greek
Πείσανδρός,morphology_only,,Homer,Odyssey,greek
Πειρίθοόν,morphology_only,,Homer,Odyssey,greek
Πειριθόοιο,no_entry,,Homer,Odyssey,greek
Πεισάνδροιο,no_entry,,Homer,Odyssey,greek
Πεισήνωρ,no_entry,,Homer,Odyssey,greek
Πεισίστρατε,morphology_only,wiktionary,Homer,Odyssey,greek
Πεισίστρατον,morphology_only,wiktionary,Homer,Odyssey,greek
Πεισίστρατος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Πεισηνορίδαο,no_entry,,Homer,Odyssey,greek
Πελίην,no_entry,,Homer,Odyssey,greek
