Author,Work,WorkID
Clemens Romanus (Clement of Rome),Contestatio [Sp.] (OGL),tlg1271.tlg004_OGL
Clemens Romanus (Clement of Rome),Epistula Clementis ad Jacobum [Sp.] (OGL),tlg1271.tlg005_OGL
Clemens Romanus (Clement of Rome),Homiliae [Sp.] (OGL),tlg1271.tlg006_OGL
Clemens Romanus (Clement of Rome),Epistulae de virginitate [Sp.] (OGL),tlg1271.tlg010_OGL
Clemens Romanus (Clement of Rome),Pseudo‑Clementina (epitome altera auctore Symeone Metaphrasta) [Sp.] (OGL),tlg1271.tlg011_OGL
Clemens Romanus (Clement of Rome),Pseudo‑Clementina (epitome de gestis Petri praemetaphrastica) [Sp.] (OGL),tlg1271.tlg012_OGL
Clement of Alexandria,Protrepticus,tlg0555.tlg001
Clement of Alexandria,Protrepticus (OGL),tlg0555.tlg001_OGL
Clement of Alexandria,Paedagogus (OGL),tlg0555.tlg002_OGL
Clement of Alexandria,Stromata,tlg0555.tlg004
Clement of Alexandria,Eclogae propheticae (OGL),tlg0555.tlg005_OGL
Clement of Alexandria,Quis Dis Salvetur,tlg0555.tlg006
Clement of Alexandria,Quis dives salvetur (OGL),tlg0555.tlg006_OGL
Clement of Alexandria,Excerpta ex Theodoto (OGL),tlg0555.tlg007_OGL
Clement of Alexandria,Exhortation to Endurance or To the Newly Baptized (Fragment 44),tlg0555.tlg008
Cleomedes,De motu circulari corporum caelestium (OGL),tlg1272.tlg001_OGL
Cleonides,Introductio Harmonica (OGL),tlg0361.tlg001_OGL
Colluthus of Lycopolis,The Rape of Helen,tlg4081.tlg001
Comarius,De lapide philosophorum (OGL),tlg2632.tlg001_OGL
Crantor,Fragmenta (OGL),tlg1287.tlg001_OGL
Cratetis Epistulae,Epistles (OGL),tlg0623.tlg001_OGL
Crateuas,Fragmenta (OGL),tlg0657.tlg001_OGL
Critias,Fragmenta (OGL),tlg0319.tlg004_OGL
Cyranides,Cyranides (OGL),tlg1482.tlg001_OGL
Cyril of Alexandria,In XII Prophetas (OGL),tlg4090.tlg001_OGL
Damigeron,De lapidibus (OGL),tlg2655.tlg002_OGL
David the Invincible,Prolegomena philosophiae (OGL),tlg4021.tlg001_OGL
David the Invincible,In Porphyrii Isagogen Commentarium (OGL),tlg4021.tlg002_OGL
Demades,On the Twelve Years,tlg0535.tlg001
Demetrius of Phaleron,Libro de Elocutione,tlg0613.tlg001
Democritus,Fragmenta (OGL),tlg1304.tlg002_OGL
Demosthenes,First Olynthiac,tlg0014.tlg001
Demosthenes,Second Olynthiac,tlg0014.tlg002
Demosthenes,Third Olynthiac,tlg0014.tlg003
Demosthenes,First Philippic,tlg0014.tlg004
Demosthenes,On the Peace,tlg0014.tlg005
Demosthenes,Second Philippic,tlg0014.tlg006
Demosthenes,On Halonnesus,tlg0014.tlg007
Demosthenes,On the Chersonese,tlg0014.tlg008
Demosthenes,Third Philippic,tlg0014.tlg009
Demosthenes,Fourth Philippic,tlg0014.tlg010
Demosthenes,Answer to Philip’s Letter,tlg0014.tlg011
Demosthenes,Philip’s Letter,tlg0014.tlg012
Demosthenes,On Organization,tlg0014.tlg013
Demosthenes,On the Navy-Boards,tlg0014.tlg014
Demosthenes,For the Liberty of the Rhodians,tlg0014.tlg015
Demosthenes,For the People of Megalopolis,tlg0014.tlg016
Demosthenes,On the Treaty with Alexander,tlg0014.tlg017
Demosthenes,On the Crown,tlg0014.tlg018
Demosthenes,On the Embassy,tlg0014.tlg019
Demosthenes,Against Leptines,tlg0014.tlg020
Demosthenes,Against Meidias,tlg0014.tlg021
Demosthenes,Against Androtion,tlg0014.tlg022
Demosthenes,Against Aristocrates,tlg0014.tlg023
Demosthenes,Against Timocrates,tlg0014.tlg024
Demosthenes,Against Aristogeiton I,tlg0014.tlg025
Demosthenes,Against Aristogeiton II,tlg0014.tlg026
Demosthenes,Against Aphobus I,tlg0014.tlg027
Demosthenes,Against Aphobus II,tlg0014.tlg028
Demosthenes,Against Aphobus III,tlg0014.tlg029
Demosthenes,"Against Onetor, An Ejectment Suit I",tlg0014.tlg030
Demosthenes,"Against Onetor, An Ejectment Suit II",tlg0014.tlg031
Demosthenes,Plea of Demo Against Zenothemis,tlg0014.tlg032
Demosthenes,Unknown Pleader Against Apaturius,tlg0014.tlg033
Demosthenes,Plea of Chrysipus and Partner Against Phormio,tlg0014.tlg034
Demosthenes,Androcles Against Lacritus,tlg0014.tlg035
Demosthenes,A Friend Pleading for Phormio,tlg0014.tlg036
Demosthenes,Nicobulus Against Pantaenetus,tlg0014.tlg037
Demosthenes,One of the Sons of Aristaechmus Against Nausimachus and Xenopeithes,tlg0014.tlg038
Demosthenes,Mantitheus Against Boeotus I,tlg0014.tlg039
Demosthenes,Mantitheus Against Boeotus II,tlg0014.tlg040
Demosthenes,An Unknown Pleader Against Spudias in the Matter of a Marriage Proposal,tlg0014.tlg041
Demosthenes,"Unknown Pleader Against Phaenippus, On an Exchange of Properties",tlg0014.tlg042
Demosthenes,Sositheus Against Macartatus in Regard to the Estate of Hagnias,tlg0014.tlg043
Demosthenes,Aristodemus Against Leochares Regarding the Estate of Archiades,tlg0014.tlg044
Demosthenes,"Apollodorus Against Stephanus, Charged with False Testimony I",tlg0014.tlg045
Demosthenes,"Apollodorus Against Stephanus, Charged with False Testimony II",tlg0014.tlg046
Demosthenes,"Unknown Pleader Against Evergus and Mnesibulus, About False Testimony",tlg0014.tlg047
Demosthenes,"Callistratus Against Olympiodorus, an Action for Damages",tlg0014.tlg048
Demosthenes,Apollodorus Against Timotheus in the Matter of a Debt,tlg0014.tlg049
Demosthenes,Apollodorus Against Polycles for Expenses Incurred while Serving as Trierarch,tlg0014.tlg050
Demosthenes,"On the Trierarchic Crown, by an Unknown Pleader",tlg0014.tlg051
Demosthenes,Apollodorus Against Callippus,tlg0014.tlg052
Demosthenes,Apollodorus Against Nicostratus in the Matter of Slaves of Aresthusius,tlg0014.tlg053
Demosthenes,"Ariston Against Conon, an Action for Assault",tlg0014.tlg054
Demosthenes,"The Son of Teisias Against Callicles, Regarding Damage to a Piece of Property",tlg0014.tlg055
Demosthenes,Dareius Against Dionysodorus in the Matter of a Loan,tlg0014.tlg056
Demosthenes,"Euxitheus Against Eubulides, an Appeal",tlg0014.tlg057
Demosthenes,"Epichares Against Theocrines, a Criminal Information",tlg0014.tlg058
Demosthenes,Theomnestus and Apollodorus Against Neaera,tlg0014.tlg059
Demosthenes,The Funeral Speech,tlg0014.tlg060
Demosthenes,The Erotic Essay,tlg0014.tlg061
Demosthenes,Exordia,tlg0014.tlg062
Demosthenes,Letters,tlg0014.tlg063
Dexippus,In Aristotelis Categorias Commentarium (OGL),tlg2036.tlg001_OGL
Dialexeis,Fragmenta (OGL),tlg1309.tlg001_OGL
Didymus Alexandrinus,Mensurae marmorum ac lignorum (OGL),tlg0357.tlg001_OGL
Dinarchus,Against Demosthenes,tlg0029.tlg004
Dinarchus,Against Aristogiton,tlg0029.tlg005
Dinarchus,Against Philocles,tlg0029.tlg006
Dio Chrysostom,Orationes,tlg0612.tlg001
Diodorus Siculus,Historical Library,tlg0060.tlg001
Diogenes Babylonius,Testimonia et Fragmenta (OGL),tlg1320.tlg001_OGL
Diogenes Laertius,Lives of Eminent Philosophers,tlg0004.tlg001
Diogenes Sinopensis Epistulae,Epistles (OGL),tlg1325.tlg001_OGL
Diogenes of Apollonia,Fragmenta (OGL),tlg1319.tlg002_OGL
Diogenianus of Heraclea,Paroemiae (epitome operis sub nomine Diogeniani) (e cod. Mazarinco) (OGL),tlg0097.tlg001_OGL
Dionysius Corinthius,Fragmenta (OGL),tlg1329.tlg001_OGL
Dionysius Periegetes,Orbis Descriptio (OGL),tlg0084.tlg001_OGL
Dionysius of Byzantium,De Bospori Navigatione (OGL),tlg0083.tlg003_OGL
Dionysius of Halicarnassus,Antiquitates Romanae,tlg0081.tlg001
Dionysius of Halicarnassus,De antiquis oratoribus,tlg0081.tlg002
Dionysius of Halicarnassus,De Lysia,tlg0081.tlg003
Dionysius of Halicarnassus,De Isocrate,tlg0081.tlg004
Dionysius of Halicarnassus,De Isaeo,tlg0081.tlg005
Dionysius of Halicarnassus,De Demosthene,tlg0081.tlg006
Dionysius of Halicarnassus,De Demosthenis dictione (OGL),tlg0081.tlg006_OGL
Dionysius of Halicarnassus,Libri secundi de antiquis oratoribus reliquiae,tlg0081.tlg007
Dionysius of Halicarnassus,Libri secundi de antiquis oratoribus reliquiae (OGL),tlg0081.tlg007_OGL
Dionysius of Halicarnassus,Ad Ammaeum,tlg0081.tlg008
Dionysius of Halicarnassus,De Dinarcho,tlg0081.tlg009
Dionysius of Halicarnassus,De Thucydide,tlg0081.tlg010
Dionysius of Halicarnassus,De Thucydidis idiomatibus,tlg0081.tlg011
Dionysius of Halicarnassus,De Compositione Verborum,tlg0081.tlg012
Dionysius of Halicarnassus,De compositione verborum (epitome) (OGL),tlg0081.tlg013_OGL
Dionysius of Halicarnassus,De imitatione (fragmenta) (OGL),tlg0081.tlg014_OGL
Dionysius of Halicarnassus,Epistula ad Pompeium Geminum,tlg0081.tlg015
Dionysius of Halicarnassus,Ars Rhetorica (OGL),tlg0081.tlg016_OGL
"Dionysius, Calliphontis",Descriptio Graeciae (OGL),tlg0069.tlg001_OGL
Diophantus Alexandrinus,"Fragmentum [Sp.] (e cod. Paris. suppl. gr. 387, fol. 181r) (OGL)",tlg2039.tlg003_OGL
Diophantus Alexandrinus,Fragmentum [Sp.] (e cod. Paris. 453) (OGL),tlg2039.tlg004_OGL
Diophantus Alexandrinus,Fragmentum [Sp.] (e cod. Paris. gr. 2448) (OGL),tlg2039.tlg005_OGL
Dioscurides Pedianus,De materia medica (OGL),tlg0656.tlg001_OGL
Dioscurides Pedianus,Euporista vel De simplicibus medicinis (OGL),tlg0656.tlg002_OGL
Dorotheus of Sidon,Fragmenta alia antiqua (OGL),tlg1337.tlg003_OGL
Elias Neoplatonicus,In Porphyrii Isagogen (OGL),tlg4020.tlg001_OGL
Elias Neoplatonicus,Eliae (Olim Davidis) In Aristotelis Categorias Commentarium (OGL),tlg4020.tlg002_OGL
Epicharmus,Fragmenta (OGL),tlg0521.tlg008_OGL
Epictetus,The Discourses of Epictetus,tlg0557.tlg001
Epictetus,The Enchiridion,tlg0557.tlg002
Epictetus,Fragments,tlg0557.tlg003
Epictetus,Gnomology (Books 1-2),tlg0557.tlg004
Epictetus,Gnomologium Epicteteum (e Stobaei libris 1-2) (OGL),tlg0557.tlg004_OGL
Epictetus,Gnomology (Books 3-4),tlg0557.tlg005
Epictetus,Gnomologium Epicteteum (e Stobaei libris 3‑4) (OGL),tlg0557.tlg005_OGL
Epicurus,Epistula ad Herodotum (OGL),tlg0537.tlg010_OGL
Epicurus,Epistula ad Pythoclem (OGL),tlg0537.tlg011_OGL
Epicurus,Epistula ad Menoeceum (OGL),tlg0537.tlg012_OGL
Epicurus,Ratae Sententiae (OGL),tlg0537.tlg013_OGL
Epicurus,Gnomologium Vaticanum Epicureum (OGL),tlg0537.tlg014_OGL
Epimenides,Fragmenta (OGL),tlg1347.tlg004_OGL
Epiphanius,Ancoratus (OGL),tlg2021.tlg001_OGL
Epiphanius,Panarion (Adversus Haereses) (OGL),tlg2021.tlg002_OGL
Epiphanius,Anacephalaeosis [Sp.] (OGL),tlg2021.tlg003_OGL
Epitaphium Sicili,Sicili Epitaphium (OGL),tlg2139.tlg001_OGL
Euclid,The Thirteen Books of Euclid's Elements,tlg1799.tlg001
Euclid,Data (OGL),tlg1799.tlg007_OGL
Euclid,Data (demonstrationes alterae) (OGL),tlg1799.tlg008_OGL
Euclid,Optica (OGL),tlg1799.tlg009_OGL
Euclid,Opticorum recensio Theonis (OGL),tlg1799.tlg010_OGL
Euclid,Catoptrica (recensio Theonis?) (OGL),tlg1799.tlg011_OGL
Euclid,Phaenomena (OGL),tlg1799.tlg012_OGL
Euclid,Phaenomena (recensio b) (OGL),tlg1799.tlg013_OGL
Euclid,Phaenomena (demonstrationes alterae recensionis b)  (OGL),tlg1799.tlg014_OGL
Euclid,Sectio canonis [Sp.] (OGL),tlg1799.tlg015_OGL
Euclid,Fragmenta (OGL),tlg1799.tlg016_OGL
Euclid,Epigramma (OGL),tlg1799.tlg017_OGL
Eunapius,Vitae Sophistarum (OGL),tlg2050.tlg001_OGL
Euripides,The Cyclops,tlg0006.tlg001
Euripides,Alcestis,tlg0006.tlg002
Euripides,Medea,tlg0006.tlg003
Euripides,Heracleidae,tlg0006.tlg004
Euripides,Hippolytus,tlg0006.tlg005
Euripides,Andromache,tlg0006.tlg006
Euripides,Hecuba,tlg0006.tlg007
Euripides,The Suppliants,tlg0006.tlg008
Euripides,Heracles Mad,tlg0006.tlg009
Euripides,Ion,tlg0006.tlg010
Euripides,The Trojan Women,tlg0006.tlg011
Euripides,Electra,tlg0006.tlg012
Euripides,Iphigenia Among the Tauri,tlg0006.tlg013
Euripides,Helen,tlg0006.tlg014
Euripides,The Phoenician Maidens,tlg0006.tlg015
Euripides,Orestes,tlg0006.tlg016
Euripides,The Bacchae,tlg0006.tlg017
Euripides,Iphigenia at Aulis,tlg0006.tlg018
Euripides,Rhesus,tlg0006.tlg019
Euripides,Fragmenta (OGL),tlg0006.tlg020_OGL
Euripides Epistulae,Epistles (OGL),tlg1367.tlg001_OGL
Eusebius Myndius,Fragmenta (OGL),tlg2640.tlg001_OGL
Eusebius of Caesarea,Praeparatio Evangelica (OGL),tlg2018.tlg001_OGL
Eusebius of Caesarea,Ecclesiastical History,tlg2018.tlg002
Eusebius of Caesarea,Historia Ecclesiastica (OGL),tlg2018.tlg002_OGL
Eusebius of Caesarea,De Martyribus Palaestinae (Recensio Brevior) (OGL),tlg2018.tlg003_OGL
Eusebius of Caesarea,Demonstratio Evangelica (OGL),tlg2018.tlg005_OGL
Eusebius of Caesarea,Contra Marcellum (OGL),tlg2018.tlg007_OGL
Eusebius of Caesarea,Epistula ad Flacillum (OGL),tlg2018.tlg008_OGL
Eusebius of Caesarea,De Ecclesiastica Theologia (OGL),tlg2018.tlg009_OGL
Eusebius of Caesarea,De Theophania (Fragmenta) (OGL),tlg2018.tlg010_OGL
Eusebius of Caesarea,Onomasticon (OGL),tlg2018.tlg011_OGL
Eusebius of Caesarea,Vita Constantini (OGL),tlg2018.tlg020_OGL
Eusebius of Caesarea,Constantini imperatoris oratio ad coetum sanctorum (OGL),tlg2018.tlg021_OGL
Eusebius of Caesarea,De Laudibus Constantini (OGL),tlg2018.tlg022_OGL
Eusebius of Caesarea,Generalis elementaria introductio (= Eclogae propheticae) (OGL),tlg2018.tlg023_OGL
Eustratius,In Aristotelis Ethica Nicomachea I Commentaria (OGL),tlg4031.tlg002_OGL
Eutocius,Commentarii in libros de sphaera et cylindro (OGL),tlg4072.tlg001_OGL
Eutocius,Commentarius in dimensionem circuli (OGL),tlg4072.tlg002_OGL
Eutocius,Commentarius in libros de planorum aequilibriis (OGL),tlg4072.tlg003_OGL
Eutropius,Breviarium historiae romanae (OGL),stoa0121.stoa001_OGL
"Evagrius, Scholasticus",Historia Ecclesiastica (OGL),tlg2733.tlg001_OGL
Flavius Josephus,Antiquities of the Jews,tlg0526.tlg001
Flavius Josephus,The Life of Flavius Josephus,tlg0526.tlg002
Flavius Josephus,Against Apion,tlg0526.tlg003
Flavius Josephus,The Wars of the Jews,tlg0526.tlg004
Gaius Romanus,Fragmenta (OGL),tlg0572.tlg001_OGL
Galen,Adhortatio ad artes addiscendas (OGL),tlg0057.tlg001_OGL
Galen,De optima doctrina (OGL),tlg0057.tlg002_OGL
Galen,Quod optimus medicus sit quoque philosophus (OGL),tlg0057.tlg003_OGL
Galen,De sectis ad eos qui introducuntur (OGL),tlg0057.tlg004_OGL
Galen,De constitutione artis medicae ad Patrophilum (OGL),tlg0057.tlg006_OGL
Galen,Ars Medica (OGL),tlg0057.tlg007_OGL
Galen,De elementis ex Hippocrate (OGL),tlg0057.tlg008_OGL
Galen,De temperamentis (OGL),tlg0057.tlg009_OGL
Galen,On the Natural Faculties,tlg0057.tlg010
Galen,De naturalibus facultatibus (OGL),tlg0057.tlg010_OGL
Galen,De anatomicis administrationibus (OGL),tlg0057.tlg011_OGL
Galen,De ossibus ad tirones (OGL),tlg0057.tlg012_OGL
Galen,De venarum arteriarumque dissectione (OGL),tlg0057.tlg013_OGL
Galen,De nervorum dissectione (OGL),tlg0057.tlg014_OGL
Galen,De instrumento odoratus (OGL),tlg0057.tlg015_OGL
Galen,De uteri dissectione (OGL),tlg0057.tlg016_OGL
Galen,De usu partium corporis humani I-XI (OGL),tlg0057.tlg017_OGL
Galen,De motu musculorum (OGL),tlg0057.tlg018_OGL
Galen,De victu attenuante (OGL),tlg0057.tlg019_OGL
Galen,De utilitate respirationis (OGL),tlg0057.tlg020_OGL
Galen,De semine (OGL),tlg0057.tlg021_OGL
Galen,De foetuum formatione (OGL),tlg0057.tlg022_OGL
Galen,An in arteriis sanguis contineatur (OGL),tlg0057.tlg023_OGL
Galen,De optima corporis nostri constitutione (OGL),tlg0057.tlg024_OGL
Galen,De bono habitu (OGL),tlg0057.tlg025_OGL
Galen,Quod animi mores corporis temperamenta sequantur (OGL),tlg0057.tlg027_OGL
Galen,De propriorum animi cuiuslibet affectuum dignotione et curatione (OGL),tlg0057.tlg028_OGL
Galen,De animi cuiuslibet peccatorum dignotione et curatione (OGL),tlg0057.tlg029_OGL
Galen,De atra bile (OGL),tlg0057.tlg030_OGL
Galen,De usu pulsuum (OGL),tlg0057.tlg031_OGL
Galen,De placitis Hippocratis et Platonis (OGL),tlg0057.tlg032_OGL
Galen,Thrasybulus sive utrum medicinae sit an gymnasticae hygieine (OGL),tlg0057.tlg033_OGL
Galen,De parvae pilae exercitio (OGL),tlg0057.tlg034_OGL
Galen,De venereis (OGL),tlg0057.tlg035_OGL
Galen,De sanitate tuenda (OGL),tlg0057.tlg036_OGL
Galen,De alimentorum facultatibus (OGL),tlg0057.tlg037_OGL
Galen,De rebus boni malique suci (OGL),tlg0057.tlg038_OGL
Galen,De ptisana (OGL),tlg0057.tlg039_OGL
Galen,De dignotione ex insomniis (OGL),tlg0057.tlg040_OGL
Galen,De morborum differentiis (OGL),tlg0057.tlg041_OGL
Galen,De causis morborum (OGL),tlg0057.tlg042_OGL
Galen,De symptomatum differentiis (OGL),tlg0057.tlg043_OGL
Galen,De symptomatum causis (OGL),tlg0057.tlg044_OGL
Galen,De differentiis febrium (OGL),tlg0057.tlg045_OGL
Galen,De morborum temporibus (OGL),tlg0057.tlg046_OGL
Galen,De totius morbi temporibus (OGL),tlg0057.tlg047_OGL
Galen,De typis (OGL),tlg0057.tlg048_OGL
Galen,Adversus eos qui de typis scripserunt vel de circuitibus (OGL),tlg0057.tlg049_OGL
Galen,De plenitudine (OGL),tlg0057.tlg050_OGL
Galen,"De tremore, palpitatione, convulsione et rigore (OGL)",tlg0057.tlg051_OGL
Galen,De comate secundum Hippocratem (OGL),tlg0057.tlg052_OGL
Galen,De marcore (OGL),tlg0057.tlg053_OGL
Galen,De tumoribus praeter naturam (OGL),tlg0057.tlg054_OGL
Galen,De inaequali intemperie (OGL),tlg0057.tlg055_OGL
Galen,De difficultate respirationis (OGL),tlg0057.tlg056_OGL
Galen,De locis affectis (OGL),tlg0057.tlg057_OGL
Galen,De pulsibus ad tirones (OGL),tlg0057.tlg058_OGL
Galen,De differentiis pulsuum (OGL),tlg0057.tlg059_OGL
Galen,De dignoscendis pulsibus (OGL),tlg0057.tlg060_OGL
Galen,De causis pulsuum (OGL),tlg0057.tlg061_OGL
Galen,De praesagitione ex pulsibus (OGL),tlg0057.tlg062_OGL
Galen,Synopsis librorum suorum de pulsibus (OGL),tlg0057.tlg063_OGL
Galen,De crisibus (OGL),tlg0057.tlg064_OGL
Galen,De diebus decretoriis (OGL),tlg0057.tlg065_OGL
Galen,De methodo medendi (OGL),tlg0057.tlg066_OGL
Galen,Ad Glauconem de methodo medendi (OGL),tlg0057.tlg067_OGL
Galen,De venae sectione adversus Erasistratum (OGL),tlg0057.tlg068_OGL
Galen,De venae sectione adversus Erasistrateos Romae degentes (OGL),tlg0057.tlg069_OGL
Galen,De curandi ratione per venae sectionem (OGL),tlg0057.tlg070_OGL
Galen,"De hirudinibus, revulsione, cucurbitula, incisione et scarificatione (OGL)",tlg0057.tlg071_OGL
Galen,De purgantium medicamentorum facultate (OGL),tlg0057.tlg072_OGL
Galen,Quos quibus catharticis medicamentis et quando purgare oporteat (OGL),tlg0057.tlg073_OGL
Galen,Pro puero epileptico consilium (OGL),tlg0057.tlg074_OGL
Galen,De simplicium medicamentorum temperamentis ac facultatibus I-VI (OGL),tlg0057.tlg075_OGL
Galen,De compositione medicamentorum secundum locos libri X (OGL),tlg0057.tlg076_OGL
Galen,De compositione medicamentorum per genera (OGL),tlg0057.tlg077_OGL
Galen,De antidotis (OGL),tlg0057.tlg078_OGL
Galen,De theriaca ad Pisonem (OGL),tlg0057.tlg079_OGL
Galen,Institutio logica (OGL),tlg0057.tlg081_OGL
Galen,De sophismatis seu captionibus penes dictionem (OGL),tlg0057.tlg082_OGL
Galen,De praenotione ad Epigenem (OGL),tlg0057.tlg083_OGL
Galen,De substantia facultatum naturalium fragmentum (OGL),tlg0057.tlg084_OGL
Galen,In Hippocratis De natura hominis (OGL),tlg0057.tlg085_OGL
Galen,In Hippocratis vel Polybi Opus de Salubri Victus Ratione Privatorum Commentarius (OGL),tlg0057.tlg086_OGL
Galen,In Hippocratis De victu acutorum (OGL),tlg0057.tlg087_OGL
Galen,In Hippocratis Epidemiarum I (OGL),tlg0057.tlg089_OGL
Galen,In Hippocratis Aphorismos Commentarii VII (OGL),tlg0057.tlg092_OGL
Galen,Adversus Lycum (OGL),tlg0057.tlg093_OGL
Galen,Adversus ea quae Juliano in Hippocratis Aphorismos enuntiata sunt (OGL),tlg0057.tlg094_OGL
Galen,In Hippocratis De articulis (OGL),tlg0057.tlg095_OGL
Galen,De Humero iis Modis Prolapso quos Hippocrates non Vidit (OGL),tlg0057.tlg096_OGL
Galen,In Hippocratis Prognosticum (OGL),tlg0057.tlg099_OGL
Galen,In Hippocratis De fracturis (OGL),tlg0057.tlg100_OGL
Galen,In Hippocratis De officina medici (OGL),tlg0057.tlg101_OGL
Galen,De musculorum dissectione ad tirones (OGL),tlg0057.tlg102_OGL
Galen,De consuetudinibus (OGL),tlg0057.tlg103_OGL
Galen,De experientia medica (OGL),tlg0057.tlg107_OGL
Galen,De causis respirationis (OGL),tlg0057.tlg114_OGL
Gaudentius,Harmonica introductio (OGL),tlg2137.tlg001_OGL
Gelasius,Historia Ecclesiastica (OGL),tlg2768.tlg001_OGL
Geminus,Elementa astronomia (OGL),tlg1383.tlg001_OGL
Greek Anthology,Greek Anthology,tlg7000.tlg001
"Gregory II, of Cyprus, Patriarch of Constantinople",Paroemiae (OGL),tlg9006.tlg001_OGL
"Gregory II, of Cyprus, Patriarch of Constantinople",Declamatio de Atheniensium defensio (ad Libanii declamationem antilogia) (OGL),tlg9006.tlg016_OGL
Gregory of Nazianzus,Christus Patiens [Dub.] (Fort. Auctore Constantino Manasse) (OGL),tlg2022.tlg003_OGL
Gregory of Nazianzus,Adversus Eunomianos (Orat. 27) (OGL),tlg2022.tlg007_OGL
Gregory of Nazianzus,De Theologia (Orat. 28) (OGL),tlg2022.tlg008_OGL
Gregory of Nazianzus,De Filio (Orat. 29) (OGL),tlg2022.tlg009_OGL
Gregory of Nazianzus,De Filio (Orat. 30) (OGL),tlg2022.tlg010_OGL
Gregory of Nazianzus,De Spiritu Sancto (Orat. 31) (OGL),tlg2022.tlg011_OGL
Gregory of Nazianzus,Carmina moralia (OGL),tlg2022.tlg060_OGL
Hanno,Periplus Hannonis (OGL),tlg0064.tlg001_OGL
Harpocration,Lexicon in decem oratores Atticos,tlg1389.tlg001
Hecataeus of Abderita,Fragmenta (OGL),tlg1390.tlg004_OGL
Hegemonius,Acta Archelai (OGL),stoa0146d.stoa001_OGL
Heliodorus of Emesa,Aethiopica (OGL),tlg0658.tlg001_OGL
Hephaestion,Enchridion de Metris (OGL),tlg1402.tlg001_OGL
Hephaestion,Introduction to Meter (OGL),tlg1402.tlg002_OGL
Hephaestion,On Poems (OGL),tlg1402.tlg003_OGL
Hephaestion,De Signis (OGL),tlg1402.tlg004_OGL
Hephaestion,Fragments (OGL),tlg1402.tlg005_OGL
"Heraclides, Criticus",Descriptio Graeciae (OGL),tlg0066.tlg001_OGL
Heraclitus,Allegoriae (= Quaestiones Homericae) (OGL),tlg1414.tlg001_OGL
Heraclitus of Ephesus,Fragmenta (OGL),tlg0626.tlg002_OGL
Hermas,The Shepherd of Hermas (OGL),tlg1419.tlg001_OGL
Hermetica,Poimandres (OGL),tlg1286.tlg001_OGL
Hermetica,Dialogus (sine titulo) (OGL),tlg1286.tlg002_OGL
Hermetica,Hieros logos (OGL),tlg1286.tlg003_OGL
Hermetica,tlg004 (OGL),tlg1286.tlg004_OGL
Hermetica,tlg005 (OGL),tlg1286.tlg005_OGL
Hermetica,tlg006 (OGL),tlg1286.tlg006_OGL
Hermetica,tlg007 (OGL),tlg1286.tlg007_OGL
Hermetica,tlg008 (OGL),tlg1286.tlg008_OGL
Hermetica,tlg009 (OGL),tlg1286.tlg009_OGL
Hermetica,tlg010 (OGL),tlg1286.tlg010_OGL
Hermetica,tlg011 (OGL),tlg1286.tlg011_OGL
Hermetica,tlg012 (OGL),tlg1286.tlg012_OGL
Hermetica,tlg013 (OGL),tlg1286.tlg013_OGL
Hermetica,tlg014 (OGL),tlg1286.tlg014_OGL
Hermetica,tlg016 (OGL),tlg1286.tlg016_OGL
Hermetica,Dialogus (sine titulo) (OGL),tlg1286.tlg017_OGL
Hermetica,tlg018 (OGL),tlg1286.tlg018_OGL
Hermetica,Fragmenta (OGL),tlg1286.tlg020_OGL
Hermogenes,Progymnasmata [Dub.] (OGL),tlg0592.tlg001_OGL
Hermogenes,tlg002 (OGL),tlg0592.tlg002_OGL
Hermogenes,tlg003 (OGL),tlg0592.tlg003_OGL
Hermogenes,tlg004 (OGL),tlg0592.tlg004_OGL
Hermogenes,tlg005 (OGL),tlg0592.tlg005_OGL
Hero of Alexandria,Pneumatica (OGL),tlg0559.tlg001_OGL
Hero of Alexandria,De automatis (OGL),tlg0559.tlg002_OGL
Hero of Alexandria,Mechanicorum fragmenta (OGL),tlg0559.tlg004_OGL
Hero of Alexandria,Catoptrica (OGL),tlg0559.tlg005_OGL
Hero of Alexandria,Metrica (OGL),tlg0559.tlg006_OGL
Hero of Alexandria,Dioptra (OGL),tlg0559.tlg007_OGL
Hero of Alexandria,Stereometrica (OGL),tlg0559.tlg010_OGL
Hero of Alexandria,De mensuris (OGL),tlg0559.tlg011_OGL
Hero of Alexandria,Belopoeica (OGL),tlg0559.tlg012_OGL
Hero of Alexandria,Fragmenta Heroniana (OGL),tlg0559.tlg014_OGL
Hero of Alexandria,Geodaesia [Sp.] (OGL),tlg0559.tlg015_OGL
Hero of Alexandria,Liber geeponicus [Sp.] (OGL),tlg0559.tlg016_OGL
Herodian,Ab excessu divi Marci (OGL),tlg0015.tlg001_OGL
Herodotus,Histories,tlg0016.tlg001
Hesiod,Theogony,tlg0020.tlg001
Hesiod,Works and Days,tlg0020.tlg002
Hesiod,Shield of Heracles,tlg0020.tlg003
Hipparchus,In Arati et Eudoxi phaenomena commentariorum libri iii (OGL),tlg1431.tlg003_OGL
Hippias of Elis,Fragmenta (OGL),tlg1434.tlg004_OGL
Hippocrates,Ancient Medicine,tlg0627.tlg001
Hippocrates,De prisca medicina (OGL),tlg0627.tlg001_OGL
Hippocrates,Airs Waters Places,tlg0627.tlg002
Hippocrates,"De aere, aquis, locis (OGL)",tlg0627.tlg002_OGL
