"Author","Work","WorkID"
"Nepos, Cornelius","Phocion","phi0588.abo019"
"Nepos, Cornelius","Themistocles","phi0588.abo002"
"Nepos, Cornelius","Thrasybulus","phi0588.abo008"
"Nepos, Cornelius","Timoleon","phi0588.abo020"
"Nepos, Cornelius","Timotheus","phi0588.abo013"
"Ovid","Amores","phi0959.phi001"
"Ovid","Ars Amatoria","phi0959.phi004"
"Ovid","Epistulae","phi0959.phi002"
"Ovid","Ex Ponto","phi0959.phi009"
"Ovid","Fasti","phi0959.phi007"
"Ovid","Ibis","phi0959.phi010"
"Ovid","Medicamina faciei femineae","phi0959.phi003"
"Ovid","Metamorphoses","phi0959.phi006"
"Ovid","Remedia amoris","phi0959.phi005"
"Ovid","Tristia","phi0959.phi008"
"P. Vergilius Maro (Virgil)","Aeneid","phi0690.phi003"
"P. Vergilius Maro (Virgil)","Eclogues","phi0690.phi001"
"P. Vergilius Maro (Virgil)","Georgics","phi0690.phi002"
"Persius","Saturae","phi0969.phi001"
"Petronius Arbiter","Satyricon","phi0972.phi001"
"Phaedrus","Fabulae","phi0975.phi001"
"Plautus, Titus Maccius","Amphitruo","phi0119.phi001"
"Plautus, Titus Maccius","Asinaria","phi0119.phi002"
"Plautus, Titus Maccius","Aulularia","phi0119.phi003"
"Plautus, Titus Maccius","Bacchides","phi0119.phi004"
"Plautus, Titus Maccius","Captivi","phi0119.phi005"
"Plautus, Titus Maccius","Casina","phi0119.phi006"
"Plautus, Titus Maccius","Cistellaria","phi0119.phi007"
"Plautus, Titus Maccius","Curculio","phi0119.phi008"
"Plautus, Titus Maccius","Epidicus","phi0119.phi009"
"Plautus, Titus Maccius","Menaechmi","phi0119.phi010"
"Plautus, Titus Maccius","Mercator","phi0119.phi011"
"Plautus, Titus Maccius","Miles Gloriosus","phi0119.phi012"
"Plautus, Titus Maccius","Mostellaria","phi0119.phi013"
"Plautus, Titus Maccius","Persa","phi0119.phi014"
"Plautus, Titus Maccius","Poenulus","phi0119.phi015"
"Plautus, Titus Maccius","Pseudolus","phi0119.phi016"
"Plautus, Titus Maccius","Rudens","phi0119.phi017"
"Plautus, Titus Maccius","Stichus","phi0119.phi018"
"Plautus, Titus Maccius","Trinummus","phi0119.phi019"
"Plautus, Titus Maccius","Truculentus","phi0119.phi020"
"Pliny, the Elder","Naturalis Historia","phi0978.phi001"
"Pliny, the Younger","Epistulae","phi1318.phi001"
"Propertius, Sextus","Elegiae","phi0620.phi001"
"Quintilian","Institutio Oratoria","phi1002.phi001"
"Quintus Tullius Cicero","Commentariolum Petitionis","phi0478.phi003"
"Sallust","Bellum Iugurthinum","phi0631.phi002"
"Sallust","Catilinae Coniuratio","phi0631.phi001"
"Sallust","Historiae","phi0631.phi003"
"Scriptores Historiae Augustae","Alexander Severus","phi2331.phi018"
"Scriptores Historiae Augustae","Antoninus Caracalla","phi2331.phi013"
"Scriptores Historiae Augustae","Antoninus Geta","phi2331.phi014"
"Scriptores Historiae Augustae","Antoninus Heliogobalus","phi2331.phi017"
"Scriptores Historiae Augustae","Antoninus Pius","phi2331.phi003"
"Scriptores Historiae Augustae","Avidius Casius","phi2331.phi006"
"Scriptores Historiae Augustae","Carus et Carinus et Numerianus","phi2331.phi030"
"Scriptores Historiae Augustae","Clodinus Albinus","phi2331.phi012"
"Scriptores Historiae Augustae","Commodus Antoninus","phi2331.phi007"
"Scriptores Historiae Augustae","De Vita Hadriani","phi2331.phi001"
"Scriptores Historiae Augustae","Diadumenus Antoninus","phi2331.phi016"
"Scriptores Historiae Augustae","Didius Julianus","phi2331.phi009"
"Scriptores Historiae Augustae","Divus Aurelianus","phi2331.phi026"
"Scriptores Historiae Augustae","Divus Claudius","phi2331.phi025"
"Scriptores Historiae Augustae","Firmus Saturninus, Proculus et Bonosus","phi2331.phi029"
"Scriptores Historiae Augustae","Gallieni Duo","phi2331.phi023"
"Scriptores Historiae Augustae","Gordiani Tres","phi2331.phi020"
"Scriptores Historiae Augustae","Helius","phi2331.phi002"
"Scriptores Historiae Augustae","Marcus Antoninus Philosophus","phi2331.phi004"
"Scriptores Historiae Augustae","Maximini Duo","phi2331.phi019"
"Scriptores Historiae Augustae","Maximus et Balbinus","phi2331.phi021"
"Scriptores Historiae Augustae","Opilius Macrinus","phi2331.phi015"
"Scriptores Historiae Augustae","Pertinax","phi2331.phi008"
"Scriptores Historiae Augustae","Pescennius Niger","phi2331.phi011"
"Scriptores Historiae Augustae","Probus","phi2331.phi028"
"Scriptores Historiae Augustae","Severus","phi2331.phi010"
"Scriptores Historiae Augustae","Tacitus","phi2331.phi027"
"Scriptores Historiae Augustae","Tyranni Triginta","phi2331.phi024"
"Scriptores Historiae Augustae","Valeriani Duo","phi2331.phi022"
"Scriptores Historiae Augustae","Verus","phi2331.phi005"
"Seneca the Elder","Controversiae","phi1014.phi001"
"Seneca the Elder","Excerpta Controversiae","phi1014.phi002"
"Seneca the Elder","Fragmenta","phi1014.phi004"
"Seneca the Elder","Suasoriae","phi1014.phi003"
"Seneca, Lucius Annaeus","Agamemnon","phi1017.phi007"
"Seneca, Lucius Annaeus","Apocolocyntosis","phi1017.phi011"
"Seneca, Lucius Annaeus","De Beneficiis","phi1017.phi013"
"Seneca, Lucius Annaeus","De Clementia","phi1017.phi014"
"Seneca, Lucius Annaeus","Epistulae","phi1017.phi015"
"Seneca, Lucius Annaeus","Hercules Furens","phi1017.phi001"
"Seneca, Lucius Annaeus","Hercules Oetaeus","phi1017.phi009"
