work_id,book_id,line_number,sequence_number,author_name,work_title,book_label,line_text,note,created_at,last_accessed
"tlg0086.tlg012_OGL","tlg0086.tlg012_OGL.002_007","16","16","Aristotle","De Generatione Animalium","Book 2 Chapter 7","λέγεται δὲ καὶ τὸ περὶ τῆς Λιβύης παροιμιαζόμενον, ὡς ἀεί τι τῆς Λιβύης τρεφούσης καινόν, διὰ τὸ μίγνυσθαι καὶ τὰ μὴ ὁμόφυλα ἀλλήλοις λεχθῆναι τοῦτο· διὰ γὰρ τὴν σπάνιν τοῦ ὕδατος ἀπαντῶντα πάντα πρὸς ὀλίγους τόπους τοὺς ἔχοντας νάματα μίγνυσθαι καὶ τὰ μὴ ὁμογενῆ.","Ἀεὶ Λιβύη φέρει τι καινόν (Aeì Libúē phérei ti kainón)
""Libya always bears something new.""
Aristotle, History of Animals. Compare the Latin proverb ex Africa semper aliquid novi.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0086.tlg009","tlg0086.tlg009.007","13","13","Aristotle","Eudemian Ethics","Book 7","καὶ γὰρ κολοιὸς παρὰ κολοιόν·","Ἀεὶ κολοιὸς παρὰ κολοιῷ ἱζάνει (Aeì koloiòs parà koloiôi hizánei)
""A jackdaw is always found near a jackdaw.""
Similar to English ""birds of a feather flock together.""

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0004.tlg001","tlg0004.tlg001.001","167","167","Diogenes Laertius","Vitae philosophorum","Book 1","Ἀριστοτέλης δὲ καὶ Ἱππίας φασὶν αὐτὸν καὶ τοῖς ἀψύχοις μεταδιδόναι ψυχῆς, τεκμαιρόμενον ἐκ τῆς λίθου τῆς μαγνήτιδος καὶ τοῦ ἠλέκτρου.παρά τε Αἰγυπτίων γεωμετρεῖν μαθόντα φησὶ Παμφίλη πρῶτον καταγράψαι κύκλου τὸ τρίγωνον ὀρθογώνιον, καὶ θῦσαι βοῦν.","Ἀεὶ ὁ θεὸς γεωμετρεῖ (Aeì ho theòs geōmetreî)
""God always geometrizes.""
Plato. Plutarch elaborated on this phrase in his essay ""What is Plato's meaning when he says that God always applies geometry"".

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0097.tlg001_OGL","tlg0097.tlg001_OGL.056","1","1","Diogenianus of Heraclea","Paroemiae (epitome operis sub nomine Diogeniani) (e cod. Mazarinco)","Section 56","Ἀετοῦ γῆρας, κορύδου νεότης: παρόσον καὶ γηράσκων ἀετὸς ἀμείνων ἐστὶ κορύδου νεάζοντος. Ὅμοιον· Ῥόδον ἀνεμώνῃ συγκρίνεις, Καρκίνον δασύποδι, Θρίπας ἀετῷ, καὶ, Χελώνην πηγάσῳ.","Ἀετοῦ γῆρας, κορυδοῦ νεότης (Aetoû gêras, korydoû neótēs)
""An eagle's old age (is worth) a sparrow's youth.""
Proverb.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0012.tlg001","tlg0012.tlg001.006","208","208","Homer","Iliad","Book 6","αἰὲν ἀριστεύειν καὶ ὑπείροχον ἔμμεναι ἄλλων,","αἰὲν ἀριστεύειν (aièn aristeúein)
""Ever to Excel.""
Motto of the University of St Andrews, the Edinburgh Academy, and Boston College. The source is Homer's Iliad (6.208), in a speech Glaucus delivers to Diomedes.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0007.tlg101","tlg0007.tlg101.001","233","233","Plutarch","De Garrulitate","Complete Text","καὶ δεῖ τὰ τοιαῦτα μάλιστα τοῖς ἀδολέσχοις προβάλλειν ὅσην χάριν ἔχει καὶ δύναμιν, οἷόν ἐστι τὸ Λακεδαιμόνιοι Φιλίππῳ Διονύσιος ἐν Κορίνθῳ καὶ πάλιν γράψαντος αὐτοῖς τοῦ Φιλίππου ἂν ἐμβάλω εἰς τὴν Λακωνικήν, ἀναστάτους ὑμᾶς ποιήσω, ἀντέγραψαν αἴκα","Αἴκα (Aíka)
""If.""
Plutarch reports that Philip II of Macedon sent word to the Spartans: ""if I should invade Laconia, I shall drive you out."" The Spartans laconically responded with ""if.""

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0059.tlg022","tlg0059.tlg022.001","645","645","Plato","Protagoras","Complete Text","ἀνάγκῃ δʼ οὐδὲ θεοὶ μάχονται·καὶ τοῦτʼ ἐστὶ πρὸς τὸ αὐτὸ τοῦτο εἰρημένον.","Ἀνάγκᾳ δ' οὐδὲ θεοὶ μάχονται (Anánkāi d' oudè theoì mákhontai)
""Not even the gods fight against necessity.""
Simonides, 8, 20.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0020.tlg001","tlg0020.tlg001.001","35","35","Hesiod","Theogony","Book 1","ἀλλὰ τί ἦ μοι ταῦτα περὶ δρῦν ἢ περὶ πέτρην;","Ἀλλὰ τί ἦ μοι ταῦτα περὶ δρῦν ἢ περὶ πέτρην (Allà tì êi moi taûta perì drûn ḕ perì pétrēn?)
""But why all this about oak or stone?""
""Why waste time on trivial subjects?"" Hesiod, Theogony, 35.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0003.tlg001","tlg0003.tlg001.002","297","297","Thucydides","History of the Peloponnesian War","Book 2","ἀνδρῶν γὰρ ἐπιφανῶν πᾶσα γῆ τάφος, καὶ οὐ στηλῶν μόνον ἐν τῇ οἰκείᾳ σημαίνει ἐπιγραφή, ἀλλὰ καὶ ἐν τῇ μὴ προσηκούσῃ ἄγραφος μνήμη παρ’ ἑκάστῳ τῆς γνώμης μᾶλλον ἢ τοῦ ἔργου ἐνδιαιτᾶται.","Ἀνδρῶν γὰρ ἐπιφανῶν πᾶσα γῆ τάφος (Andrôn gàr epiphanôn pâsa gê táphos)
""For illustrious men have the whole earth for their tomb.""
Pericles' Funeral Oration from Thucydides, History of the Peloponnesian War 2.43.3.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0007.tlg045","tlg0007.tlg045.001","1013","1013","Plutarch","Pompey","Complete Text","καὶ γὰρ ἐπὶ τὸν Ῥουβίκωνα ποταμὸν ἐλθών, ὃς ἀφώριζεν αὐτῷ τὴν δεδομένην ἐπαρχίαν, ἔστη σιωπῇ καὶ διεμέλλησεν, αὐτὸς ἄρα πρὸς ἑαυτὸν συλλογιζόμενος τὸ μέγεθος τοῦ τολμήματος, εἶτα, ὥσπερ οἱ πρὸς βάθος ἀφιέντες ἀχανὲς ἀπὸ κρημνοῦ τινος ἑαυτούς, μύσας τῷ λογισμῷ καὶ παρακαλυψάμενος πρὸς τὸ δεινόν, καὶ τοσοῦτον μόνον Ἑλληνιστὶ πρὸς τοὺς παρόντας ἐκβοήσας, ἀνερρίφθω κύβος, διεβίβαζε τὸν στρατόν.","Ἀνεῤῥίφθω κύβος (Anerrhíphthō kúbos)
""Let the die be cast.""
Julius Caesar as reported by Plutarch, when he entered Italy with his army in 49 BC. Translated into Latin by Suetonius as alea iacta est.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0004.tlg001","tlg0004.tlg001.009","430","430","Diogenes Laertius","Vitae philosophorum","Book 9","πάντων χρημάτων μέτρον ἄνθρωπος, τῶν μὲν ὄντων ὡς ἔστιν, τῶν δὲ οὐκ ὄντων ὡς οὐκ ἔστιν","Ἄνθρωπος μέτρον (Ánthrōpos métron)
""Man is the measure of all things.""
Motto of Protagoras (as quoted in Plato's Theaetetus 152a).

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg1194.tlg001_OGL","tlg1194.tlg001_OGL.001","364","364","Aristonicus of Alexandria","De signis Odysseae","Book 1","318. εὗ δὲ πλίσσοντο πόδεσσιν.
Notatum fuit vocabulum πλίσσοντο ἅπαξ λεγόμενον. .","ἅπαξ λεγόμενον (hápax legómenon)
""Once said.""
A word that only occurs once.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0612.tlg001","tlg0612.tlg001.001","2422","2422","Dio Chrysostom","Orationes","Complete Text","ταῦτακαὶ τὰ τοιαῦτα τούς τε ἄλλους ἅπαντας καὶ μάλιστα καὶ πρῶτον ἐμαυτὸν καταμεμφόμενος ἐνίοτε ὑπὸ ἀπορίας ἀνῆγον ἐπί τινα λόγον ἀρχαῖον, λεγόμενον ὑπό τινος Σωκράτους, ὃν οὐδέποτε ἐκεῖνος ἐπαύσατο λέγων, πανταχοῦ τε καὶ πρὸς ἅπαντας βοῶν καὶ διατεινόμενος ἐν ταῖς παλαίστραις καὶ ἐν τῷ Λυκείῳ καὶ ἐπὶτῶν ἐργαστηρίων καὶ κατʼ ἀγοράν, ὥσπερ ἀπὸ μηχανῆς θεός, ὡς ἔφη τις.","ἀπὸ μηχανῆς Θεός (apò mēkhanês Theós)
""God from the machine (Deus ex machina).""
The phrase originates from the way deity figures appeared in ancient Greek theaters, held high up by a machine, to solve a problem in the plot.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0007.tlg047","tlg0007.tlg047.001","165","165","Plutarch","Alexander","Complete Text","ὡς δὲ ἐκεῖνος ἀσπασάμενος καὶ προσειπὼν αὐτόν ἠρώτησεν εἴ τινος τυγχάνει δεόμενος, μικρὸν εἶπεν, ἀπὸ τοῦ ἡλίου μετάστηθι.","Ἀπὸ τοῦ ἡλίου μετάστηθι (Apò toû hēlíou metástēthi)
""Stand a little out of my sun.""
Legendary reply of Diogenes the Cynic when Alexander the Great asked him if he had any wish — version recounted by Plutarch.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0033.tlg001","tlg0033.tlg001.001","1","1","Pindar","Olympian Odes","Ode 1","ἄριστον μὲν ὕδωρ, ὁ δὲ χρυσὸς αἰθόμενον πῦρ","Ἄριστον μὲν ὕδωρ (áriston mèn húdōr)
""Greatest however is water.""
Pindar, Olympian 1, 1. Used as the inscription over the Pump Room at Bath.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0004.tlg001","tlg0004.tlg001.008","299","299","Diogenes Laertius","Vitae philosophorum","Book 8","αὐτὸς ἔφα μὲν οὐκ ἀδικεῖν, ἄλλους δʼ αὐτὸς ἔτευχʼ ἀδικεῖν.","αὐτὸς ἔφα (autòs épha)
""He himself said it (Ipse dixit).""
Argument from authority made by the disciples of Pythagoras when appealing to the pronouncements of the master rather than to reason or evidence.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0031.tlg001","tlg0031.tlg001.003","2","2","New Testament","Matthew","Chapter 3","λέγων Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.","βασιλεία τῶν οὐρανῶν (basileía tôn ouranôn)
""Kingdom of the heavens.""
""Heaven"" is a foundational theological concept in Christianity and Judaism. The phrase occurs more than a hundred times in the New Testament.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0004.tlg001","tlg0004.tlg001.004","265","265","Diogenes Laertius","Vitae philosophorum","Book 4","καὶ προεφέρετο τὸν στίχον τὸν ἐκ τοῦ Βελλεροφόντου","Βελλεροφόντης τὰ γράμματα (Bellerophóntēs tà grámmata)
""Bellerophontic letter.""
King Proetus sent Bellerophon to King Iobates bearing a sealed message in a folded tablet: ""Pray remove the bearer from this world: he attempted to violate my wife, your daughter.""

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
"tlg0097.tlg001_OGL","tlg0097.tlg001_OGL.080","1","1","Diogenianus of Heraclea","Paroemiae (epitome operis sub nomine Diogeniani) (e cod. Mazarinco)","Section 80","Γηράσκω αἰεὶ πολλὰ διδασκόμενος: ἐπὶ τῶν διὰ γῆρας ἐμπειροτέρων.","Γηράσκω δ' αἰεὶ πολλὰ διδασκόμενος (Gēráskō d' aieì pollà didaskómenos)
""I grow old always learning many things.""
Solon the Athenian, one of the seven Sages of Greece, on learning.

— Wikipedia, List of Classical Greek phrases","1770734451326","1770734451326"
